"","LastName","value","L1"
"469","Kleinman","WB",17826566
"470","Yoshioka","H",17729368
"471","Bittersohl","B",17729361
"472","Lee","CK",17668185
"473","Khoury","V",17665349
"474","Lubiatowski","P",17639915
"475","Estrella","EP",17637408
"476","Bille","B",17606063
"477","Kordasiewicz","B",17592404
"478","Lubiatowski","P",17592403
"479","Lubiatowski","P",17592402
"480","Badia","A",17536524
"481","Milz","S",17532798
"482","Unglaub","F",17481998
"483","Szabo","RM",17472295
"484","Zimmermann","R",17402142
"485","Tatebe","M",17398353
"486","Leclercq","C",17361891
"487","Fontès","D",17361887
"488","Mathoulin","C",17361884
"489","Leclercq","C",17349396
"490","Fontès","D",17349392
"491","Mathoulin","C",17349389
"492","Berná-Serna","JD",17325933
"493","Soong","M",17304066
"494","Gunes","T",17223233
"495","Joshy","S",17216523
"496","Rüegger","C",17179363
"497","Elkowitz","SJ",17155924
"498","Ahn","AK",17155920
"499","Kordasiewicz","B",17133833
"500","Wiesler","ER",17095385
"501","Tanaka","T",17027792
"502","Badia","A",17027791
"503","Zanetti","M",16932876
"504","Zlatkin","MB",16829252
"505","Tsu-Hsin Chen","E",16777280
"506","Amrami","KK",16632064
"507","Monaghan","BA",16628118
"508","Machiels","F",16619697
"509","Kalainov","DM",16609503
"510","Shih","JT",16568510
"511","Kiyoshige","Y",16520603
"512","Haugstvedt","JR",16516740
"513","Bae","DS",16504777
"514","Konduru","RS",16476513
"515","Sahin","G",16464555
"516","Shen","J",16344174
"517","Chen","AC",16325103
"518","Cole","DW",16324702
"519","Glowacki","KA",16274869
"520","Tomaino","MM",16274867
"521","De Smet","L",16184992
"522","Ruch","DS",16171639
"523","Darlis","NA",16111792
"524","Martineau","PA",16039365
"525","Nishiwaki","M",16039364
"526","Degreef","I",16035701
"527","Wong","TC",15935528
"528","Shih","JT",15891731
"529","Meier","R",15877268
"530","Lamraski","G",15672920
"531","Fontès","D",15651241
"532","Conca","M",15346129
"533","Miwa","H",15278772
"534","Zlatkin","MB",15172388
"535","Pilný","J",15151098
"536","Hempfling","H",15146315
"537","Schmidt","HM",15127199
"538","Lenk","S",15122464
"539","Feldkamp","G",15112036
"540","Borisch","N",15105987
"541","Bernstein","MA",15067279
"542","Sasao","S",15002101
"543","Braun","H",14610703
"544","Sahin","G",14605770
"545","Chou","KH",14599826
"546","Schulz","CU",12964096
"547","Yoshioka","H",12942205
"548","Schmitt","R",12847645
"549","Haims","AH",12773676
"550","Ruch","DS",12724681
"551","Ruch","DS",12671622
"552","Meier","R",12658336
"553","Millants","P",12491707
"554","Shih","JT",12468868
"555","Shih","JT",12435944
"556","Nishikawa","S",12358373
"557","Tünnerhoff","HG",12203149
"558","Ruch","DS",12132853
"559","Zhu","Z",12054769
"560","Shih","JT",11901458
"561","Nishikawa","S",11895353
"562","Zhu","Q",11834149
"563","Böhringer","G",11830818
"564","Chou","CH",11820450
"565","Pfirrmann","CW",11810165
"566","Vandesande","W",11725568
"567","Mathoulin","C",11723774
"568","Van Sanden","S",11723772
"569","Tomaino","MM",11721249
"570","Herold","T",11704910
"571","Munns","CF",11677662
"572","Nakamura","T",11560427
"573","Böhringer","G",11518985
"574","Tünnerhoff","HG",11518984
"575","Rappold","G",11518981
"576","Blazar","PE",11466652
"577","Sugimoto","H",11398343
"578","Husby","T",11291355
"579","Nagle","DJ",11227703
"580","Moskal","MJ",11227702
"581","Gupta","R",11176611
"582","Nakamura","T",11125809
"583","Yoshida",NA,11089167
"584","Nakamura","T",10991819
"585","Dailey","SW",10955219
"586","Nicolaidis","SC",10955218
"587","Lindau","T",10811750
"588","Tränkle","M",10800382
"589","Whatley","JS",10705322
"590","De Smet","L",10675935
"591","Haugstvedt","JR",10614755
"592","Beyermann","K",10550439
"593","van Schoonhoven","J",10550435
"594","Dronsella","J",10550431
"595","Beyermann","K",28246737
"596","van Schoonhoven","J",28246733
"597","Dronsella","J",28246729
"598","Bienz","T",10451818
"599","Nakamura","T",10433450
"600","Nakamura","T",10190598
"601","Krimmer","H",9888007
"602","Nagy","L",9888006
"603","Tang","JB",9848547
"604","Minami","A",9763270
"605","Taniguchi","Y",9752936
"606","Kleinman","WB",9708371
"607","Westkaemper","JG",9681539
"608","Grechenig","W",9609486
"609","Fulcher","SM",9604160
"610","Skahen","JR",9471065
"611","Richards","RS",9330132
"612","Skie","MC",9330138
"613","Trumble","TE",9330137
"614","Hulsizer","D",9260628
"615","Baehser-Griffith","P",9220068
"616","Fellinger","M",9195037
"617","Corso","SJ",9043608
"618","Trumble","TE",9018613
"619","de Araujo","W",9115558
"620","Nakamura","T",9230938
"621","Trumble","TE",8902134
"622","Preissler","P",9026487
"623","Schütz","K",9026486
"624","Neumann","K",8924448
"625","Sagerman","SD",8783830
"626","Minami","A",8724470
"627","De Smet","L",8669264
"628","Oneson","SR",10946693
"629","Bruckner","JD",8727719
"630","Schers","TJ",8553825
"631","Gan","BS",7566916
"632","Totterman","SM",7724777
"633","Rettig","ME",7553028
"634","Totterman","SM",7553019
"635","Sennwald","GR",7797966
"636","Nakamura","T",7782655
"637","Mikic","ZD",7775777
"638","Bednar","JM",7868628
"639","Fortems","Y",7822912
"640","Rodriguez Merchan","EC",10150245
"641","Adolfsson","L",7964104
"642","Uchiyama","S",8077819
"643","Scheker","LR",8077818
"644","Jeffries","AO",8077817
"645","Rabinowitz","RS",8056963
"646","Lener","M",8050738
"647","De Smet","L",8171975
"648","Fortems","Y",7531478
"649","Rose","RE",8160461
"650","Whipple","TL",8234074
"651","Strehle","J",8339487
"652","Williams","CS",8451048
"653","Zachee","B",8461093
"654","De Smet","L",8116370
"655","Tolat","AR",1484254
"656","Ambrose","L",1460064
"657","Drobner","WS",1460062
"658","Watson","HK",1629556
"659","Melone","CP",1735235
"660","Schweitzer","ME",1727283
"661","Wnorowski","DC",1637434
"662","Pederzini","L",1637432
"663","Milliez","PY",1380276
"664","Osterman","AL",1880162
"665","Levinsohn","EM",2006283
"666","Oestern","HJ",2277707
"667","Cerofolini","E",2229576
"668","Palmer","AK",2363780
"669","Osterman","AL",2363779
"670","Berger","RA",2153953
"671","Haas","N",1983635
"672","Bottke","CA",2771827
"673","Quinn","SF",2688677
"674","Hardy","DC",3225407
"675","Palmer","AK",3379276
"676","Dell","PC",3320066
"677","Reinus","WR",3611642
"678","Paley","D",3453929
"679","Palmer","AK",6491211
"680","Berger","RA",6821992
"681","Palmer","AK",7229292
"682","THOMS","J",13920954
"683","HOEGEN","K",13361370
